County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
United States,0,"78,538",
California,6000,"96,334",6 of 52
Trinity County,6105,"38,497","2,457"
Siskiyou County,6093,"44,200","2,309"
Imperial County,6025,"45,834","2,246"
Modoc County,6049,"45,149","2,221"
Lake County,6033,"42,475","2,055"
Sierra County,6091,"48,125","1,915"
Humboldt County,6023,"45,528","1,802"
Tehama County,6103,"42,899","1,739"
Lassen County,6035,"56,362","1,515"
Mendocino County,6045,"49,233","1,476"
Plumas County,6063,"53,270","1,436"
Merced County,6047,"50,129","1,420"
Mariposa County,6043,"51,199","1,392"
Del Norte County,6015,"45,258","1,299"
Kern County,6029,"52,479","1,234"
Butte County,6007,"48,443","1,152"
Kings County,6031,"53,865","1,139"
Tulare County,6107,"47,518","1,095"
Glenn County,6021,"47,395","1,018"
Fresno County,6019,"51,261",945
Shasta County,6089,"50,905",900
Tuolumne County,6109,"56,493",886
Inyo County,6027,"52,874",870
Yuba County,6115,"52,624",796
Colusa County,6011,"56,704",704
Sutter County,6101,"56,955",692
Madera County,6039,"52,884",690
Stanislaus County,6099,"57,387",518
Calaveras County,6009,"58,151",511
Amador County,6005,"61,198",458
San Bernardino County,6071,"60,164",440
Nevada County,6057,"63,240",361
Mono County,6051,"63,018",313
Los Angeles County,6037,"64,251",294
San Joaquin County,6077,"61,145",279
Sacramento County,6067,"63,902",273
Yolo County,6113,"65,923",271
Riverside County,6065,"63,948",258
San Luis Obispo County,6079,"70,699",219
Monterey County,6053,"66,676",202
Santa Barbara County,6083,"71,657",184
Solano County,6095,"77,609",150
San Diego County,6073,"74,855",131
Sonoma County,6097,"76,753",122
El Dorado County,6017,"80,582",107
Ventura County,6111,"84,017",100
San Benito County,6069,"81,977",91
Napa County,6055,"84,753",87
Santa Cruz County,6087,"78,041",84
Alpine County,6003,"64,688",73
Orange County,6059,"85,398",64
Placer County,6061,"84,357",57
Contra Costa County,6013,"93,712",33
Alameda County,6001,"92,574",31
San Francisco County,6075,"104,552",11
Marin County,6041,"110,217",10
San Mateo County,6081,"113,776",3
Santa Clara County,6085,"116,178",2
